N,종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,PER,ROE
1,쌍방울,892,8,-0.89%,"65,854,485","60,172",875,876,"2,342",-12.22,-8.37
2,KODEX 200선물인버스2X,"2,585",20,+0.78%,"63,596,724","163,571","2,585","2,590","21,003",N/A,N/A
3,남선알미늄,"3,630",265,+7.88%,"56,682,582","209,203","3,710","3,715","4,000",9.63,19.60
4,KEC,"3,405",110,+3.34%,"43,160,168","151,011","3,420","3,425","4,929",42.56,4.41
5,삼성 인버스 2X WTI원유 선물 ETN,160,10,+6.67%,"25,321,036","3,926",155,160,"1,435",N/A,N/A
6,에이프로젠 MED,"1,665",50,+3.10%,"24,720,826","44,306","1,700","1,705","3,359",-17.90,-5.50
7,금호에이치티,"2,000",40,+2.04%,"24,246,417","48,054","1,995","2,000","3,931",-15.75,-6.25
8,대한전선,"1,755",70,-3.84%,"23,747,997","42,269","1,750","1,755","21,840",58.50,7.78
9,KG동부제철,"16,500",150,+0.92%,"20,596,195","349,860","16,500","16,550","16,501",8.65,17.99
10,한신기계,"12,150",850,+7.52%,"20,028,689","244,362","12,200","12,250","3,942",96.43,4.86
11,에이프로젠제약,880,48,+5.77%,"18,026,583","16,979",897,898,"3,507",44.00,1.60
12,KODEX 코스닥150선물인버스,"4,490",0,0.00%,"14,713,073","65,959","4,490","4,495","4,005",N/A,N/A
13,TYM,"2,470",115,-4.45%,"14,493,352","36,764","2,485","2,490","3,754",13.07,14.28
14,아남전자,"2,500",185,+7.99%,"14,449,246","35,826","2,500","2,505","1,928",14.53,19.31
15,일진홀딩스,"6,460",140,-2.12%,"12,659,903","85,530","6,480","6,500","3,188",15.87,5.68
16,한국전자홀딩스,"1,915",55,+2.96%,"10,026,707","20,550","1,920","1,925",896,3.85,20.34
17,KODEX 인버스,"4,405",20,+0.46%,"9,866,074","43,323","4,405","4,410","9,030",N/A,N/A
18,KODEX 레버리지,"19,150",130,-0.67%,"8,774,722","168,718","19,120","19,125","20,261",N/A,N/A
19,다이나믹디자인,250,6,+2.46%,"8,681,141","2,164",247,248,396,-1.53,-49.05
20,한국내화,"4,080",495,+13.81%,"6,772,363","28,776","4,075","4,080","1,676",25.82,2.86
21,삼성전자,"68,100",100,+0.15%,"5,788,019","394,290","68,000","68,100","4,065,422",11.79,13.92
22,이아이디,201,5,-2.43%,"5,696,517","1,159",203,204,"1,891",33.50,2.44
23,신한 인버스 2X WTI원유 선물 ETN(H),155,10,+6.90%,"4,764,937",716,150,155,826,N/A,N/A
24,KODEX 코스닥150레버리지,"11,910",65,+0.55%,"4,599,579","54,869","11,860","11,870","9,040",N/A,N/A
25,코스모화학,"15,400",850,+5.84%,"4,568,649","72,312","15,650","15,700","4,290",38.79,7.89
26,삼부토건,"2,690",40,-1.47%,"3,999,066","10,846","2,660","2,665","4,642",45.59,3.67
27,일진전기,"5,930",660,-10.02%,"3,353,230","20,331","5,920","5,930","2,199",14.71,4.73
28,TIGER 2차전지테마,"21,035",665,+3.26%,"2,749,568","57,544","20,960","20,965","13,084",N/A,N/A
29,TIGER 200선물인버스2X,"2,695",15,+0.56%,"2,601,599","6,988","2,700","2,705","1,183",N/A,N/A
30,동양철관,"1,325",75,-5.36%,"2,524,658","3,397","1,315","1,320","1,575",-41.41,-4.40
31,신한 인버스 2X 천연가스 선물 ETN,610,45,-6.87%,"2,372,842","1,429",600,605,305,N/A,N/A
32,KODEX 200,"35,970",105,-0.29%,"2,369,274","85,366","35,940","35,945","52,786",N/A,N/A
33,TIGER 차이나전기차SOLACTIVE,"14,015",195,-1.37%,"2,346,624","33,171","14,035","14,045","31,730",N/A,N/A
34,KG케미칼,"38,300","2,900",-7.04%,"2,336,800","93,626","38,550","38,600","5,311",7.11,17.39
35,HMM,"26,050",250,+0.97%,"2,124,510","54,898","25,750","25,800","127,395",1.89,88.62
